Sqrt(A) (m),Rn,t (cm),Dmax (mm)
2,0.1,4,0.576
3,0.1,4,1.921
4,0.1,4,4.485
5,0.1,4,8.666
6,0.1,4,14.863
7,0.1,4,23.458
8,0.1,4,34.803
9,0.1,4,49.216
10,0.1,4,66.99
11,0.1,4,88.394
12,0.1,4,113.686
13,0.1,4,143.112
14,0.1,4,176.912
15,0.1,4,215.325
16,0.1,4,258.587
17,0.1,4,306.934
18,0.1,4,360.603
2,0.11,4,0.523
3,0.11,4,1.738
4,0.11,4,4.057
5,0.11,4,7.842
6,0.11,4,13.452
7,0.11,4,21.219
8,0.11,4,31.443
9,0.11,4,44.397
10,0.11,4,60.328
11,0.11,4,79.471
12,0.11,4,102.05
13,0.11,4,128.283
14,0.11,4,158.384
15,0.11,4,192.569
16,0.11,4,231.053
17,0.11,4,274.048
18,0.11,4,321.771
2,0.12,4,0.479
3,0.12,4,1.586
4,0.12,4,3.701
5,0.12,4,7.158
6,0.12,4,12.276
7,0.12,4,19.346
8,0.12,4,28.626
9,0.12,4,40.353
10,0.12,4,54.742
11,0.12,4,72
12,0.12,4,92.328
13,0.12,4,115.922
14,0.12,4,142.978
15,0.12,4,173.693
16,0.12,4,208.263
17,0.12,4,246.883
18,0.12,4,289.752
2,0.13,4,0.441
3,0.13,4,1.457
4,0.13,4,3.402
5,0.13,4,6.581
6,0.13,4,11.279
7,0.13,4,17.753
8,0.13,4,26.228
9,0.13,4,36.911
10,0.13,4,49.995
11,0.13,4,65.665
12,0.13,4,84.103
13,0.13,4,105.49
14,0.13,4,130.006
15,0.13,4,157.832
16,0.13,4,189.15
17,0.13,4,224.139
18,0.13,4,262.982
2,0.14,4,0.408
3,0.14,4,1.347
4,0.14,4,3.146
5,0.14,4,6.086
6,0.14,4,10.422
7,0.14,4,16.38
8,0.14,4,24.161
9,0.14,4,33.949
10,0.14,4,45.917
11,0.14,4,60.235
12,0.14,4,77.07
13,0.14,4,96.59
14,0.14,4,118.962
15,0.14,4,144.353
16,0.14,4,172.933
17,0.14,4,204.867
18,0.14,4,240.324
2,0.15,4,0.38
3,0.15,4,1.252
4,0.15,4,2.926
5,0.15,4,5.657
6,0.15,4,9.676
7,0.15,4,15.185
8,0.15,4,22.363
9,0.15,4,31.375
10,0.15,4,42.381
11,0.15,4,55.537
12,0.15,4,71
13,0.15,4,88.924
14,0.15,4,109.467
15,0.15,4,132.783
16,0.15,4,159.03
17,0.15,4,188.363
18,0.15,4,220.936
2,0.16,4,0.355
3,0.16,4,1.169
4,0.16,4,2.733
5,0.16,4,5.281
6,0.16,4,9.021
7,0.16,4,14.135
8,0.16,4,20.784
9,0.16,4,29.12
10,0.16,4,39.291
11,0.16,4,51.442
12,0.16,4,65.718
13,0.16,4,82.267
14,0.16,4,101.233
15,0.16,4,122.763
16,0.16,4,147.003
17,0.16,4,174.096
18,0.16,4,204.188
2,0.17,4,0.333
3,0.17,4,1.096
4,0.17,4,2.562
5,0.17,4,4.948
6,0.17,4,8.441
7,0.17,4,13.205
8,0.17,4,19.388
9,0.17,4,27.132
10,0.17,4,36.571
11,0.17,4,47.845
12,0.17,4,61.089
13,0.17,4,76.441
14,0.17,4,94.037
15,0.17,4,114.015
16,0.17,4,136.51
17,0.17,4,161.658
18,0.17,4,189.592
2,0.18,4,0.314
3,0.18,4,1.032
4,0.18,4,2.411
5,0.18,4,4.651
6,0.18,4,7.923
7,0.18,4,12.376
8,0.18,4,18.147
9,0.18,4,25.367
10,0.18,4,34.164
11,0.18,4,44.666
12,0.18,4,57.005
13,0.18,4,71.308
14,0.18,4,87.704
15,0.18,4,106.322
16,0.18,4,127.289
17,0.18,4,150.731
18,0.18,4,176.775
2,0.19,4,0.296
3,0.19,4,0.974
4,0.19,4,2.275
5,0.19,4,4.384
6,0.19,4,7.458
7,0.19,4,11.634
8,0.19,4,17.037
9,0.19,4,23.792
10,0.19,4,32.019
11,0.19,4,41.841
12,0.19,4,53.379
13,0.19,4,66.757
14,0.19,4,82.093
15,0.19,4,99.512
16,0.19,4,119.13
17,0.19,4,141.067
18,0.19,4,165.44
2,0.2,4,0.28
3,0.2,4,0.922
4,0.2,4,2.153
5,0.2,4,4.144
6,0.2,4,7.039
7,0.2,4,10.965
8,0.2,4,16.04
9,0.2,4,22.38
10,0.2,4,30.1
11,0.2,4,39.316
12,0.2,4,50.144
13,0.2,4,62.698
14,0.2,4,77.094
15,0.2,4,93.446
16,0.2,4,111.866
17,0.2,4,132.464
18,0.2,4,155.352
2,0.21,4,0.266
3,0.21,4,0.875
4,0.21,4,2.043
5,0.21,4,3.926
6,0.21,4,6.659
7,0.21,4,10.36
8,0.21,4,15.14
9,0.21,4,21.108
10,0.21,4,28.375
11,0.21,4,37.049
12,0.21,4,47.241
13,0.21,4,59.061
14,0.21,4,72.616
15,0.21,4,88.014
16,0.21,4,105.362
17,0.21,4,124.763
18,0.21,4,146.323
2,0.22,4,0.253
3,0.22,4,0.833
4,0.22,4,1.942
5,0.22,4,3.727
6,0.22,4,6.314
7,0.22,4,9.811
8,0.22,4,14.324
9,0.22,4,19.958
10,0.22,4,26.816
11,0.22,4,35.004
12,0.22,4,44.625
13,0.22,4,55.785
14,0.22,4,68.584
15,0.22,4,83.126
16,0.22,4,99.51
17,0.22,4,117.835
18,0.22,4,138.2
2,0.23,4,0.241
3,0.23,4,0.794
4,0.23,4,1.85
5,0.23,4,3.546
6,0.23,4,5.998
7,0.23,4,9.31
8,0.23,4,13.582
9,0.23,4,18.913
10,0.23,4,25.403
11,0.23,4,33.152
12,0.23,4,42.258
13,0.23,4,52.822
14,0.23,4,64.939
15,0.23,4,78.707
16,0.23,4,94.221
17,0.23,4,111.574
18,0.23,4,130.858
2,0.24,4,0.231
3,0.24,4,0.758
4,0.24,4,1.765
5,0.24,4,3.379
6,0.24,4,5.709
7,0.24,4,8.852
8,0.24,4,12.905
9,0.24,4,17.961
10,0.24,4,24.117
11,0.24,4,31.467
12,0.24,4,40.106
13,0.24,4,50.129
14,0.24,4,61.627
15,0.24,4,74.693
16,0.24,4,89.417
17,0.24,4,105.886
18,0.24,4,124.189
2,0.25,4,0.221
3,0.25,4,0.725
4,0.25,4,1.687
5,0.25,4,3.226
6,0.25,4,5.443
7,0.25,4,8.433
8,0.25,4,12.285
9,0.25,4,17.091
10,0.25,4,22.942
11,0.25,4,29.929
12,0.25,4,38.143
13,0.25,4,47.674
14,0.25,4,58.608
15,0.25,4,71.035
16,0.25,4,85.038
17,0.25,4,100.702
18,0.25,4,118.111
2,0.26,4,0.212
3,0.26,4,0.695
4,0.26,4,1.615
5,0.26,4,3.084
6,0.26,4,5.198
7,0.26,4,8.046
8,0.26,4,11.716
9,0.26,4,16.293
10,0.26,4,21.866
11,0.26,4,28.521
12,0.26,4,36.346
13,0.26,4,45.426
14,0.26,4,55.845
15,0.26,4,67.686
16,0.26,4,81.03
17,0.26,4,95.958
18,0.26,4,112.548
2,0.27,4,0.203
3,0.27,4,0.667
4,0.27,4,1.548
5,0.27,4,2.953
6,0.27,4,4.972
7,0.27,4,7.69
8,0.27,4,11.191
9,0.27,4,15.558
10,0.27,4,20.876
11,0.27,4,27.227
12,0.27,4,34.696
13,0.27,4,43.363
14,0.27,4,53.308
15,0.27,4,64.612
16,0.27,4,77.35
17,0.27,4,91.601
18,0.27,4,107.439
2,0.28,4,0.195
3,0.28,4,0.641
4,0.28,4,1.486
5,0.28,4,2.831
6,0.28,4,4.763
7,0.28,4,7.361
8,0.28,4,10.707
9,0.28,4,14.881
10,0.28,4,19.964
11,0.28,4,26.035
12,0.28,4,33.175
13,0.28,4,41.461
14,0.28,4,50.971
15,0.28,4,61.779
16,0.28,4,73.96
17,0.28,4,87.587
18,0.28,4,102.732
2,0.29,4,0.188
3,0.29,4,0.617
4,0.29,4,1.429
5,0.29,4,2.718
6,0.29,4,4.568
7,0.29,4,7.056
8,0.29,4,10.259
9,0.29,4,14.255
10,0.29,4,19.121
11,0.29,4,24.935
12,0.29,4,31.772
13,0.29,4,39.707
14,0.29,4,48.814
15,0.29,4,59.165
16,0.29,4,70.831
17,0.29,4,83.881
18,0.29,4,98.385
2,0.3,4,0.181
3,0.3,4,0.594
4,0.3,4,1.375
5,0.3,4,2.613
6,0.3,4,4.388
7,0.3,4,6.774
8,0.3,4,9.846
9,0.3,4,13.678
10,0.3,4,18.345
11,0.3,4,23.922
12,0.3,4,30.48
13,0.3,4,38.093
14,0.3,4,46.829
15,0.3,4,56.759
16,0.3,4,67.951
17,0.3,4,80.47
18,0.3,4,94.384
2,0.31,4,0.175
3,0.31,4,0.573
4,0.31,4,1.324
5,0.31,4,2.515
6,0.31,4,4.22
7,0.31,4,6.511
8,0.31,4,9.461
9,0.31,4,13.142
10,0.31,4,17.626
11,0.31,4,22.984
12,0.31,4,29.287
13,0.31,4,36.603
14,0.31,4,45.001
15,0.31,4,54.546
16,0.31,4,65.304
17,0.31,4,77.339
18,0.31,4,90.715
2,0.32,4,0.169
3,0.32,4,0.553
4,0.32,4,1.276
5,0.32,4,2.421
6,0.32,4,4.059
7,0.32,4,6.261
8,0.32,4,9.096
9,0.32,4,12.634
