Sqrt(A) (m),Rn,t (cm),Dmax (mm)
2,0.1,4,0.171
3,0.1,4,0.497
4,0.1,4,1.066
5,0.1,4,1.934
6,0.1,4,3.163
7,0.1,4,4.818
8,0.1,4,6.97
9,0.1,4,9.69
10,0.1,4,13.045
11,0.1,4,17.101
12,0.1,4,21.919
13,0.1,4,27.556
14,0.1,4,34.065
15,0.1,4,41.494
16,0.1,4,49.889
17,0.1,4,59.293
18,0.1,4,69.748
2,0.11,4,0.15
3,0.11,4,0.438
4,0.11,4,0.941
5,0.11,4,1.711
6,0.11,4,2.805
7,0.11,4,4.288
8,0.11,4,6.222
9,0.11,4,8.669
10,0.11,4,11.691
11,0.11,4,15.343
12,0.11,4,19.677
13,0.11,4,24.74
14,0.11,4,30.576
15,0.11,4,37.226
16,0.11,4,44.727
17,0.11,4,53.118
18,0.11,4,62.431
2,0.12,4,0.134
3,0.12,4,0.391
4,0.12,4,0.84
5,0.12,4,1.532
6,0.12,4,2.52
7,0.12,4,3.862
8,0.12,4,5.619
9,0.12,4,7.844
10,0.12,4,10.59
11,0.12,4,13.906
12,0.12,4,17.835
13,0.12,4,22.417
14,0.12,4,27.69
15,0.12,4,33.689
16,0.12,4,40.445
17,0.12,4,47.991
18,0.12,4,56.358
2,0.13,4,0.121
3,0.13,4,0.352
4,0.13,4,0.758
5,0.13,4,1.385
6,0.13,4,2.286
7,0.13,4,3.514
8,0.13,4,5.122
9,0.13,4,7.161
10,0.13,4,9.674
11,0.13,4,12.705
12,0.13,4,16.29
13,0.13,4,20.465
14,0.13,4,25.261
15,0.13,4,30.708
16,0.13,4,36.836
17,0.13,4,43.672
18,0.13,4,51.244
2,0.14,4,0.109
3,0.14,4,0.32
4,0.14,4,0.69
5,0.14,4,1.264
6,0.14,4,2.092
7,0.14,4,3.224
8,0.14,4,4.707
9,0.14,4,6.586
10,0.14,4,8.9
11,0.14,4,11.685
12,0.14,4,14.975
13,0.14,4,18.799
14,0.14,4,23.186
15,0.14,4,28.163
16,0.14,4,33.755
17,0.14,4,39.987
18,0.14,4,46.886
2,0.15,4,0.1
3,0.15,4,0.293
4,0.15,4,0.632
5,0.15,4,1.162
6,0.15,4,1.929
7,0.15,4,2.978
8,0.15,4,4.353
9,0.15,4,6.094
10,0.15,4,8.235
11,0.15,4,10.807
12,0.15,4,13.841
13,0.15,4,17.362
14,0.15,4,21.396
15,0.15,4,25.966
16,0.15,4,31.098
17,0.15,4,36.814
18,0.15,4,43.138
2,0.16,4,0.092
3,0.16,4,0.269
4,0.16,4,0.584
5,0.16,4,1.076
6,0.16,4,1.79
7,0.16,4,2.768
8,0.16,4,4.049
9,0.16,4,5.668
10,0.16,4,7.657
11,0.16,4,10.043
12,0.16,4,12.852
13,0.16,4,16.109
14,0.16,4,19.835
15,0.16,4,24.054
16,0.16,4,28.788
17,0.16,4,34.057
18,0.16,4,39.885
2,0.17,4,0.085
3,0.17,4,0.25
4,0.17,4,0.542
5,0.17,4,1.001
6,0.17,4,1.669
7,0.17,4,2.585
8,0.17,4,3.783
9,0.17,4,5.295
10,0.17,4,7.15
11,0.17,4,9.372
12,0.17,4,11.984
13,0.17,4,15.008
14,0.17,4,18.465
15,0.17,4,22.377
16,0.17,4,26.763
17,0.17,4,31.645
18,0.17,4,37.043
2,0.18,4,0.079
3,0.18,4,0.232
4,0.18,4,0.505
5,0.18,4,0.937
6,0.18,4,1.564
7,0.18,4,2.424
8,0.18,4,3.549
9,0.18,4,4.966
10,0.18,4,6.702
11,0.18,4,8.777
12,0.18,4,11.215
13,0.18,4,14.034
14,0.18,4,17.255
15,0.18,4,20.896
16,0.18,4,24.979
17,0.18,4,29.52
18,0.18,4,34.542
2,0.19,4,0.074
3,0.19,4,0.217
4,0.19,4,0.474
5,0.19,4,0.88
6,0.19,4,1.472
7,0.19,4,2.283
8,0.19,4,3.341
9,0.19,4,4.674
10,0.19,4,6.302
11,0.19,4,8.248
12,0.19,4,10.53
13,0.19,4,13.167
14,0.19,4,16.178
15,0.19,4,19.582
16,0.19,4,23.395
17,0.19,4,27.638
18,0.19,4,32.328
2,0.2,4,0.069
3,0.2,4,0.204
4,0.2,4,0.446
5,0.2,4,0.83
6,0.2,4,1.39
7,0.2,4,2.156
8,0.2,4,3.156
9,0.2,4,4.411
10,0.2,4,5.944
11,0.2,4,7.773
12,0.2,4,9.916
13,0.2,4,12.392
14,0.2,4,15.216
15,0.2,4,18.408
16,0.2,4,21.984
17,0.2,4,25.962
18,0.2,4,30.359
2,0.21,4,0.065
3,0.21,4,0.192
4,0.21,4,0.421
5,0.21,4,0.785
6,0.21,4,1.317
7,0.21,4,2.043
8,0.21,4,2.989
9,0.21,4,4.175
10,0.21,4,5.622
11,0.21,4,7.346
12,0.21,4,9.365
13,0.21,4,11.695
14,0.21,4,14.353
15,0.21,4,17.356
16,0.21,4,20.72
17,0.21,4,24.461
18,0.21,4,28.597
2,0.22,4,0.062
3,0.22,4,0.182
4,0.22,4,0.399
5,0.22,4,0.746
6,0.22,4,1.251
7,0.22,4,1.941
8,0.22,4,2.838
9,0.22,4,3.962
10,0.22,4,5.33
11,0.22,4,6.959
12,0.22,4,8.866
13,0.22,4,11.066
14,0.22,4,13.575
15,0.22,4,16.408
16,0.22,4,19.582
17,0.22,4,23.113
18,0.22,4,27.015
2,0.23,4,0.058
3,0.23,4,0.172
4,0.23,4,0.379
5,0.23,4,0.71
6,0.23,4,1.191
7,0.23,4,1.848
8,0.23,4,2.701
9,0.23,4,3.767
10,0.23,4,5.065
11,0.23,4,6.609
12,0.23,4,8.414
13,0.23,4,10.496
14,0.23,4,12.871
15,0.23,4,15.552
16,0.23,4,18.555
17,0.23,4,21.895
18,0.23,4,25.587
2,0.24,4,0.055
3,0.24,4,0.164
4,0.24,4,0.362
5,0.24,4,0.677
6,0.24,4,1.137
7,0.24,4,1.763
8,0.24,4,2.576
9,0.24,4,3.59
10,0.24,4,4.823
11,0.24,4,6.289
12,0.24,4,8.003
13,0.24,4,9.979
14,0.24,4,12.231
15,0.24,4,14.774
16,0.24,4,17.623
17,0.24,4,20.792
18,0.24,4,24.294
2,0.25,4,0.053
3,0.25,4,0.156
4,0.25,4,0.345
5,0.25,4,0.648
6,0.25,4,1.088
7,0.25,4,1.686
8,0.25,4,2.461
9,0.25,4,3.428
10,0.25,4,4.602
11,0.25,4,5.997
12,0.25,4,7.627
13,0.25,4,9.506
14,0.25,4,11.648
15,0.25,4,14.067
16,0.25,4,16.776
17,0.25,4,19.788
18,0.25,4,23.119
2,0.26,4,0.05
3,0.26,4,0.149
4,0.26,4,0.331
5,0.26,4,0.621
6,0.26,4,1.042
7,0.26,4,1.615
8,0.26,4,2.356
9,0.26,4,3.279
10,0.26,4,4.4
11,0.26,4,5.73
12,0.26,4,7.284
13,0.26,4,9.075
14,0.26,4,11.116
15,0.26,4,13.42
16,0.26,4,16.002
17,0.26,4,18.873
18,0.26,4,22.047
2,0.27,4,0.048
3,0.27,4,0.143
4,0.27,4,0.318
5,0.27,4,0.596
6,0.27,4,1.001
7,0.27,4,1.55
8,0.27,4,2.259
9,0.27,4,3.142
10,0.27,4,4.213
11,0.27,4,5.484
12,0.27,4,6.968
13,0.27,4,8.678
14,0.27,4,10.628
15,0.27,4,12.828
16,0.27,4,15.293
17,0.27,4,18.035
18,0.27,4,21.066
2,0.28,4,0.046
3,0.28,4,0.137
4,0.28,4,0.305
5,0.28,4,0.573
6,0.28,4,0.963
7,0.28,4,1.49
8,0.28,4,2.17
9,0.28,4,3.016
10,0.28,4,4.041
11,0.28,4,5.258
12,0.28,4,6.678
13,0.28,4,8.314
14,0.28,4,10.179
15,0.28,4,12.285
16,0.28,4,14.643
17,0.28,4,17.266
18,0.28,4,20.166
2,0.29,4,0.044
3,0.29,4,0.132
4,0.29,4,0.294
5,0.29,4,0.553
6,0.29,4,0.927
7,0.29,4,1.434
8,0.29,4,2.087
9,0.29,4,2.899
10,0.29,4,3.882
11,0.29,4,5.049
12,0.29,4,6.41
13,0.29,4,7.979
14,0.29,4,9.766
15,0.29,4,11.784
16,0.29,4,14.045
17,0.29,4,16.559
18,0.29,4,19.338
2,0.3,4,0.043
3,0.3,4,0.127
4,0.3,4,0.284
5,0.3,4,0.533
6,0.3,4,0.894
7,0.3,4,1.382
8,0.3,4,2.01
9,0.3,4,2.791
10,0.3,4,3.735
11,0.3,4,4.855
12,0.3,4,6.162
13,0.3,4,7.668
14,0.3,4,9.384
15,0.3,4,11.322
16,0.3,4,13.492
17,0.3,4,15.906
18,0.3,4,18.574
2,0.31,4,0.041
3,0.31,4,0.123
4,0.31,4,0.274
5,0.31,4,0.515
6,0.31,4,0.864
7,0.31,4,1.334
8,0.31,4,1.939
9,0.31,4,2.69
10,0.31,4,3.599
11,0.31,4,4.676
12,0.31,4,5.933
13,0.31,4,7.381
14,0.31,4,9.031
15,0.31,4,10.895
16,0.31,4,12.981
17,0.31,4,15.303
18,0.31,4,17.868
2,0.32,4,0.04
3,0.32,4,0.119
4,0.32,4,0.265
5,0.32,4,0.499
6,0.32,4,0.835
7,0.32,4,1.289
8,0.32,4,1.873
9,0.32,4,2.597
10,0.32,4,3.472
11,0.32,4,4.51
12,0.32,4,5.72
13,0.32,4,7.115
14,0.32,4,8.704
15,0.32,4,10.498
16,0.32,4,12.508
17,0.32,4,14.743
18,0.32,4,17.214
2,0.33,4,0.039
3,0.33,4,0.115
4,0.33,4,0.257
5,0.33,4,0.483
6,0.33,4,0.809
7,0.33,4,1.248
8,0.33,4,1.811
9,0.33,4,2.51
10,0.33,4,3.354
11,0.33,4,4.355
12,0.33,4,5.522
13,0.33,4,6.867
14,0.33,4,8.4
15,0.33,4,10.13
16,0.33,4,12.068
17,0.33,4,14.224
18,0.33,4,16.606
2,0.34,4,0.037
3,0.34,4,0.112
4,0.34,4,0.249
5,0.34,4,0.469
6,0.34,4,0.784
7,0.34,4,1.209
8,0.34,4,1.753
9,0.34,4,2.428
10,0.34,4,3.244
11,0.34,4,4.21
12,0.34,4,5.338
13,0.34,4,6.637
14,0.34,4,8.117
15,0.34,4,9.788
16,0.34,4,11.659
17,0.34,4,13.74
18,0.34,4,16.041
2,0.35,4,0.036
3,0.35,4,0.109
4,0.35,4,0.242
5,0.35,4,0.455
6,0.35,4,0.761
7,0.35,4,1.172
8,0.35,4,1.699
9,0.35,4,2.352
10,0.35,4,3.141
11,0.35,4,4.076
12,0.35,4,5.166
13,0.35,4,6.422
14,0.35,4,7.853
15,0.35,4,9.468
16,0.35,4,11.278
17,0.35,4,13.29
18,0.35,4,15.514
2,0.36,4,0.035
3,0.36,4,0.106
4,0.36,4,0.236
5,0.36,4,0.442
6,0.36,4,0.739
7,0.36,4,1.138
8,0.36,4,1.649
9,0.36,4,2.281
10,0.36,4,3.045
11,0.36,4,3.95
12,0.36,4,5.005
13,0.36,4,6.221
14,0.36,4,7.606
15,0.36,4,9.17
16,0.36,4,10.922
17,0.36,4,12.869
18,0.36,4,15.022
2,0.37,4,0.034
3,0.37,4,0.103
4,0.37,4,0.229
5,0.37,4,0.43
6,0.37,4,0.719
7,0.37,4,1.106
8,0.37,4,1.601
9,0.37,4,2.214
10,0.37,4,2.955
11,0.37,4,3.832
12,0.37,4,4.855
13,0.37,4,6.033
14,0.37,4,7.376
15,0.37,4,8.891
16,0.37,4,10.589
17,0.37,4,12.476
18,0.37,4,14.562
2,0.38,4,0.033
3,0.38,4,0.1
4,0.38,4,0.224
5,0.38,4,0.419
6,0.38,4,0.7
7,0.38,4,1.076
8,0.38,4,1.557
9,0.38,4,2.152
10,0.38,4,2.87
11,0.38,4,3.721
12,0.38,4,4.714
13,0.38,4,5.857
14,0.38,4,7.16
15,0.38,4,8.63
16,0.38,4,10.277
17,0.38,4,12.108
18,0.38,4,14.131
2,0.39,4,0.033
3,0.39,4,0.098
4,0.39,4,0.218
5,0.39,4,0.409
6,0.39,4,0.682
7,0.39,4,1.047
8,0.39,4,1.515
9,0.39,4,2.093
10,0.39,4,2.791
11,0.39,4,3.618
12,0.39,4,4.582
13,0.39,4,5.692
14,0.39,4,6.957
15,0.39,4,8.385
16,0.39,4,9.985
17,0.39,4,11.763
18,0.39,4,13.727
2,0.4,4,0.032
3,0.4,4,0.095
4,0.4,4,0.213
5,0.4,4,0.399
6,0.4,4,0.665
7,0.4,4,1.021
8,0.4,4,1.475
9,0.4,4,2.038
10,0.4,4,2.717
11,0.4,4,3.52
12,0.4,4,4.458
13,0.4,4,5.537
14,0.4,4,6.767
15,0.4,4,8.155
16,0.4,4,9.71
17,0.4,4,11.438
18,0.4,4,13.348
2,0.1,4.5,0.159
3,0.1,4.5,0.461
4,0.1,4.5,0.987
5,0.1,4.5,1.786
6,0.1,4.5,2.911
7,0.1,4.5,4.418
8,0.1,4.5,6.368
9,0.1,4.5,8.822
10,0.1,4.5,11.843
11,0.1,4.5,15.493
12,0.1,4.5,19.829
13,0.1,4.5,24.908
14,0.1,4.5,30.78
15,0.1,4.5,37.496
16,0.1,4.5,45.1
17,0.1,4.5,53.635
18,0.1,4.5,63.141
2,0.11,4.5,0.14
3,0.11,4.5,0.406
4,0.11,4.5,0.871
5,0.11,4.5,1.578
6,0.11,4.5,2.577
7,0.11,4.5,3.922
8,0.11,4.5,5.669
9,0.11,4.5,7.874
10,0.11,4.5,10.594
11,0.11,4.5,13.881
12,0.11,4.5,17.786
13,0.11,4.5,22.356
14,0.11,4.5,27.634
15,0.11,4.5,33.662
16,0.11,4.5,40.477
17,0.11,4.5,48.115
18,0.11,4.5,56.608
2,0.12,4.5,0.124
3,0.12,4.5,0.362
4,0.12,4.5,0.777
5,0.12,4.5,1.411
6,0.12,4.5,2.31
7,0.12,4.5,3.525
8,0.12,4.5,5.108
9,0.12,4.5,7.111
10,0.12,4.5,9.583
11,0.12,4.5,12.57
12,0.12,4.5,16.117
13,0.12,4.5,20.263
14,0.12,4.5,25.045
15,0.12,4.5,30.497
16,0.12,4.5,36.652
17,0.12,4.5,43.539
18,0.12,4.5,51.188
2,0.13,4.5,0.112
3,0.13,4.5,0.326
4,0.13,4.5,0.7
5,0.13,4.5,1.274
6,0.13,4.5,2.091
7,0.13,4.5,3.201
8,0.13,4.5,4.649
9,0.13,4.5,6.483
10,0.13,4.5,8.747
11,0.13,4.5,11.482
12,0.13,4.5,14.725
13,0.13,4.5,18.511
14,0.13,4.5,22.871
15,0.13,4.5,27.835
16,0.13,4.5,33.43
17,0.13,4.5,39.683
18,0.13,4.5,46.62
2,0.14,4.5,0.102
3,0.14,4.5,0.296
4,0.14,4.5,0.636
5,0.14,4.5,1.16
6,0.14,4.5,1.91
7,0.14,4.5,2.931
8,0.14,4.5,4.266
9,0.14,4.5,5.957
10,0.14,4.5,8.044
11,0.14,4.5,10.563
12,0.14,4.5,13.545
13,0.14,4.5,17.021
14,0.14,4.5,21.018
15,0.14,4.5,25.563
16,0.14,4.5,30.679
17,0.14,4.5,36.391
18,0.14,4.5,42.721
2,0.15,4.5,0.093
3,0.15,4.5,0.271
4,0.15,4.5,0.583
5,0.15,4.5,1.065
6,0.15,4.5,1.758
7,0.15,4.5,2.704
8,0.15,4.5,3.941
9,0.15,4.5,5.51
10,0.15,4.5,7.443
11,0.15,4.5,9.774
12,0.15,4.5,12.53
13,0.15,4.5,15.737
14,0.15,4.5,19.42
15,0.15,4.5,23.602
16,0.15,4.5,28.305
17,0.15,4.5,33.55
18,0.15,4.5,39.358
2,0.16,4.5,0.085
3,0.16,4.5,0.249
4,0.16,4.5,0.537
5,0.16,4.5,0.984
6,0.16,4.5,1.629
7,0.16,4.5,2.509
8,0.16,4.5,3.663
9,0.16,4.5,5.124
10,0.16,4.5,6.923
11,0.16,4.5,9.089
12,0.16,4.5,11.646
13,0.16,4.5,14.618
14,0.16,4.5,18.026
15,0.16,4.5,21.892
16,0.16,4.5,26.236
17,0.16,4.5,31.077
18,0.16,4.5,36.434
2,0.17,4.5,0.079
3,0.17,4.5,0.231
4,0.17,4.5,0.498
5,0.17,4.5,0.915
6,0.17,4.5,1.517
7,0.17,4.5,2.341
8,0.17,4.5,3.421
9,0.17,4.5,4.788
10,0.17,4.5,6.469
11,0.17,4.5,8.489
12,0.17,4.5,10.87
13,0.17,4.5,13.635
14,0.17,4.5,16.802
15,0.17,4.5,20.391
16,0.17,4.5,24.42
17,0.17,4.5,28.908
18,0.17,4.5,33.873
2,0.18,4.5,0.074
3,0.18,4.5,0.215
4,0.18,4.5,0.464
5,0.18,4.5,0.855
6,0.18,4.5,1.42
7,0.18,4.5,2.195
8,0.18,4.5,3.209
9,0.18,4.5,4.492
10,0.18,4.5,6.067
11,0.18,4.5,7.957
12,0.18,4.5,10.184
13,0.18,4.5,12.764
14,0.18,4.5,15.718
15,0.18,4.5,19.063
16,0.18,4.5,22.815
17,0.18,4.5,26.993
18,0.18,4.5,31.613
2,0.19,4.5,0.069
3,0.19,4.5,0.201
4,0.19,4.5,0.435
5,0.19,4.5,0.802
6,0.19,4.5,1.335
7,0.19,4.5,2.065
8,0.19,4.5,3.022
9,0.19,4.5,4.229
10,0.19,4.5,5.71
11,0.19,4.5,7.484
12,0.19,4.5,9.572
13,0.19,4.5,11.989
14,0.19,4.5,14.753
15,0.19,4.5,17.881
16,0.19,4.5,21.389
17,0.19,4.5,25.293
18,0.19,4.5,29.61
2,0.2,4.5,0.064
3,0.2,4.5,0.188
4,0.2,4.5,0.409
5,0.2,4.5,0.755
6,0.2,4.5,1.26
7,0.2,4.5,1.951
8,0.2,4.5,2.854
9,0.2,4.5,3.994
10,0.2,4.5,5.39
11,0.2,4.5,7.061
12,0.2,4.5,9.023
13,0.2,4.5,11.294
14,0.2,4.5,13.89
15,0.2,4.5,16.825
16,0.2,4.5,20.115
17,0.2,4.5,23.776
18,0.2,4.5,27.824
2,0.21,4.5,0.061
3,0.21,4.5,0.177
4,0.21,4.5,0.385
5,0.21,4.5,0.714
6,0.21,4.5,1.193
7,0.21,4.5,1.848
8,0.21,4.5,2.704
9,0.21,4.5,3.783
10,0.21,4.5,5.102
11,0.21,4.5,6.679
12,0.21,4.5,8.529
13,0.21,4.5,10.669
14,0.21,4.5,13.113
15,0.21,4.5,15.876
16,0.21,4.5,18.972
17,0.21,4.5,22.416
18,0.21,4.5,26.223
2,0.22,4.5,0.057
3,0.22,4.5,0.167
4,0.22,4.5,0.365
5,0.22,4.5,0.677
6,0.22,4.5,1.133
7,0.22,4.5,1.756
8,0.22,4.5,2.569
9,0.22,4.5,3.592
10,0.22,4.5,4.841
11,0.22,4.5,6.333
12,0.22,4.5,8.083
13,0.22,4.5,10.104
14,0.22,4.5,12.412
15,0.22,4.5,15.019
16,0.22,4.5,17.941
17,0.22,4.5,21.191
18,0.22,4.5,24.784
2,0.23,4.5,0.054
3,0.23,4.5,0.159
4,0.23,4.5,0.347
5,0.23,4.5,0.644
6,0.23,4.5,1.078
7,0.23,4.5,1.672
8,0.23,4.5,2.446
9,0.23,4.5,3.418
10,0.23,4.5,4.604
11,0.23,4.5,6.019
12,0.23,4.5,7.677
13,0.23,4.5,9.592
14,0.23,4.5,11.776
15,0.23,4.5,14.244
16,0.23,4.5,17.009
17,0.23,4.5,20.084
18,0.23,4.5,23.483
2,0.24,4.5,0.051
3,0.24,4.5,0.151
4,0.24,4.5,0.33
5,0.24,4.5,0.615
6,0.24,4.5,1.029
7,0.24,4.5,1.596
8,0.24,4.5,2.334
9,0.24,4.5,3.26
10,0.24,4.5,4.388
11,0.24,4.5,5.733
12,0.24,4.5,7.307
13,0.24,4.5,9.125
14,0.24,4.5,11.198
15,0.24,4.5,13.54
16,0.24,4.5,16.163
17,0.24,4.5,19.08
18,0.24,4.5,22.304
2,0.25,4.5,0.049
3,0.25,4.5,0.144
4,0.25,4.5,0.315
5,0.25,4.5,0.588
6,0.25,4.5,0.985
7,0.25,4.5,1.527
8,0.25,4.5,2.232
9,0.25,4.5,3.115
10,0.25,4.5,4.19
11,0.25,4.5,5.471
12,0.25,4.5,6.97
13,0.25,4.5,8.699
14,0.25,4.5,10.67
15,0.25,4.5,12.897
16,0.25,4.5,15.392
17,0.25,4.5,18.166
18,0.25,4.5,21.232
2,0.26,4.5,0.047
3,0.26,4.5,0.137
4,0.26,4.5,0.302
5,0.26,4.5,0.563
6,0.26,4.5,0.944
7,0.26,4.5,1.463
8,0.26,4.5,2.138
9,0.26,4.5,2.982
10,0.26,4.5,4.009
11,0.26,4.5,5.231
12,0.26,4.5,6.66
13,0.26,4.5,8.308
14,0.26,4.5,10.188
15,0.26,4.5,12.31
16,0.26,4.5,14.687
17,0.26,4.5,17.331
18,0.26,4.5,20.252
2,0.27,4.5,0.045
3,0.27,4.5,0.132
4,0.27,4.5,0.289
5,0.27,4.5,0.541
6,0.27,4.5,0.906
7,0.27,4.5,1.405
8,0.27,4.5,2.051
9,0.27,4.5,2.859
10,0.27,4.5,3.842
11,0.27,4.5,5.01
12,0.27,4.5,6.375
13,0.27,4.5,7.95
14,0.27,4.5,9.745
15,0.27,4.5,11.772
16,0.27,4.5,14.041
17,0.27,4.5,16.566
18,0.27,4.5,19.356
2,0.28,4.5,0.043
3,0.28,4.5,0.126
4,0.28,4.5,0.278
5,0.28,4.5,0.52
6,0.28,4.5,0.872
7,0.28,4.5,1.351
8,0.28,4.5,1.971
9,0.28,4.5,2.746
10,0.28,4.5,3.687
11,0.28,4.5,4.806
12,0.28,4.5,6.113
13,0.28,4.5,7.62
14,0.28,4.5,9.337
15,0.28,4.5,11.277
16,0.28,4.5,13.448
17,0.28,4.5,15.863
18,0.28,4.5,18.533
2,0.29,4.5,0.041
3,0.29,4.5,0.121
4,0.29,4.5,0.268
5,0.29,4.5,0.501
6,0.29,4.5,0.84
7,0.29,4.5,1.301
8,0.29,4.5,1.897
9,0.29,4.5,2.641
10,0.29,4.5,3.545
11,0.29,4.5,4.618
12,0.29,4.5,5.871
13,0.29,4.5,7.315
14,0.29,4.5,8.962
15,0.29,4.5,10.82
16,0.29,4.5,12.902
17,0.29,4.5,15.217
18,0.29,4.5,17.775
2,0.3,4.5,0.04
3,0.3,4.5,0.117
4,0.3,4.5,0.258
5,0.3,4.5,0.483
6,0.3,4.5,0.81
7,0.3,4.5,1.255
8,0.3,4.5,1.829
9,0.3,4.5,2.544
10,0.3,4.5,3.412
11,0.3,4.5,4.443
12,0.3,4.5,5.647
13,0.3,4.5,7.034
14,0.3,4.5,8.615
15,0.3,4.5,10.399
16,0.3,4.5,12.397
17,0.3,4.5,14.62
18,0.3,4.5,17.076
2,0.31,4.5,0.038
3,0.31,4.5,0.113
4,0.31,4.5,0.249
5,0.31,4.5,0.467
6,0.31,4.5,0.783
7,0.31,4.5,1.212
8,0.31,4.5,1.765
9,0.31,4.5,2.454
10,0.31,4.5,3.29
11,0.31,4.5,4.281
12,0.31,4.5,5.439
13,0.31,4.5,6.773
14,0.31,4.5,8.293
15,0.31,4.5,10.009
16,0.31,4.5,11.931
17,0.31,4.5,14.068
18,0.31,4.5,16.43
2,0.32,4.5,0.037
3,0.32,4.5,0.109
4,0.32,4.5,0.241
5,0.32,4.5,0.452
6,0.32,4.5,0.758
7,0.32,4.5,1.172
8,0.32,4.5,1.706
9,0.32,4.5,2.37
10,0.32,4.5,3.175
11,0.32,4.5,4.131
12,0.32,4.5,5.246
13,0.32,4.5,6.531
14,0.32,4.5,7.995
15,0.32,4.5,9.647
16,0.32,4.5,11.498
17,0.32,4.5,13.556
18,0.32,4.5,15.83
2,0.33,4.5,0.036
3,0.33,4.5,0.106
4,0.33,4.5,0.234
5,0.33,4.5,0.438
6,0.33,4.5,0.734
